year,std,stream.yel,swe.yel,tmax.lsum
1205,0.781,160.9853794,54.215,-0.88
1206,0.994,190.4523937,57.659,-0.8
1207,1.115,101.8090618,42.351,0.24
1208,1.091,101.1082132,60.716,-0.09
1209,1.089,129.3559577,57.62,0.13
1210,1.349,68.67306569,44.355,0.09
1211,1.296,113.7067995,12.838,0.8
1212,1.176,88.26457523,56.447,-0.21
1213,1.121,63.21009391,35.201,1.89
1214,1.356,121.0002968,67.047,-0.06
1215,1.061,92.4243565,63.024,1.25
1216,1.397,159.142595,51.214,-0.73
1217,1.098,69.6284032,63.843,0.88
1218,1.059,77.76540453,52.391,0.02
1219,1.162,131.4578229,50.097,1.14
1220,0.982,80.86981238,57.067,0.13
1221,1.288,134.8299693,39.272,0.21
1222,0.971,79.21117135,48.81,1.07
1223,0.521,56.20648616,97.782,0.69
1224,1.144,114.4949774,19.575,0.54
1225,0.979,156.5980809,57.521,-0.21
1226,0.784,116.8924431,53.833,-1.74
1227,1.333,122.4014142,46.356,-0.54
1228,1.395,121.8390308,37.861,-0.36
1229,1.29,64.23717531,73.805,0.21
1230,1.309,63.35580822,49.098,-0.8
1231,1.371,88.46804609,36.482,0.84
1232,1.127,99.95083705,55.533,-1.4
1233,0.952,94.35967481,61.031,-1.63
1234,1.151,69.78891324,69.493,0.24
1235,0.694,103.225367,50.788,-0.36
1236,0.827,115.8207667,43.961,0.09
1237,1.393,67.10987587,27.224,1.22
1238,0.839,170.1321677,43.538,-0.02
1239,1.138,147.158867,27.255,0.17
1240,1.033,127.8752323,56.162,-1.07
1241,0.974,168.5723866,38.324,0.65
1242,1.445,113.1843642,31.276,0.88
1243,1.005,66.03686316,54.918,-0.13
1244,0.729,66.49460883,79.428,-0.17
1245,1.191,70.11104423,46.515,0.8
1246,0.891,99.95083705,58.291,0.28
1247,0.654,123.2498603,57.79,-0.28
1248,0.783,63.9420323,58.513,-0.69
1249,0.83,67.57505931,52.132,-0.43
1250,0.915,81.80624067,31.687,0.47
1251,0.636,52.57586608,70.979,-0.73
1252,1.102,69.78891324,35.487,0.17
1253,1.253,89.6987592,45.66,-0.43
1254,0.737,86.4542675,63.569,0.17
1255,0.912,107.841628,50.343,0.28
1256,1.05,94.57719633,44.251,0.17
1257,1.308,109.8465536,34.194,0.24
1258,1.169,69.14908464,58.796,0.73
1259,1.43,109.8465536,37.983,-1.33
1260,1.251,111.8887535,38.071,-0.8
1261,0.975,77.05244702,68.921,1.33
1262,0.85,81.80624067,59.829,0.73
1263,1.383,50.79096164,39.078,0.95
1264,0.877,78.12435333,65.721,0.62
1265,0.493,139.5681865,70.77,-0.36
1266,0.999,153.386252,43.53,-0.24
1267,0.978,115.8207667,53.661,-0.13
1268,0.997,95.67234865,44.75,0.21
1269,0.767,90.11278986,59.007,-1.78
1270,0.859,70.75977374,54.056,-0.32
1271,0.934,118.5185789,41.238,0.02
1272,0.784,93.06501154,64.744,-0.84
1273,0.547,102.9879552,63.617,-0.92
1274,0.702,62.91966991,62.345,-0.02
1275,0.635,65.88498259,60.07,-0.77
1276,1.044,78.12435333,45.229,-0.36
1277,0.806,147.4981032,59.263,-1.7
1278,0.658,68.04346724,74.137,0.32
1279,1.014,62.1994344,58.905,0.95
1280,0.724,101.5749075,67.327,-0.17
1281,0.839,119.3401105,55.319,-1.55
1282,1.156,195.7881648,28.201,0.43
1283,0.806,98.80670928,54.164,-0.06
1284,0.912,153.0334734,51.799,-2.64
1285,0.991,91.15624679,56.727,-0.32
1286,0.965,153.0334734,47.275,-0.99
1287,1.004,128.1700151,63.962,-2.83
1288,0.938,65.43143356,60.769,0.02
1289,0.784,111.8887535,53.886,-1.59
1290,0.838,150.5866374,54.32,-0.24
1291,1.072,124.9644366,60.923,-0.17
1292,0.631,102.2789911,62.306,-0.09
1293,1.068,189.5773445,45.44,-1.4
1294,0.902,98.80670928,59.111,-2.15
1295,1.396,85.46463369,24.243,-0.09
1296,0.796,75.47210021,74.32,0.77
1297,1.123,100.4121892,46.172,-0.09
1298,1.316,161.7284542,38.743,-1.44
1299,1.326,134.8299693,28.661,1.59
1300,1.094,97.90084392,63.537,0.21
1301,0.727,62.48653394,54.391,0.06
1302,1.048,94.57719633,43.88,-1.03
1303,0.769,112.4052085,51.064,0.73
1304,0.514,54.17344268,85.718,0.8
1305,0.756,113.1843642,56.455,0.77
1306,0.843,51.61624838,48.51,1.37
1307,0.667,52.09384764,70.644,0.02
1308,0.834,118.5185789,24.285,0.99
1309,1.03,77.05244702,44.084,0.17
1310,0.905,118.2459938,48.064,0.02
1311,1.162,104.1804995,39.257,0.13
1312,0.799,142.8191472,57.524,0.21
1313,1.104,93.71010738,23.507,0.95
